2017-11-24 14:53:15.608 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.acec.demo.HelloWorldControlerTests]: HelloWorldControlerTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-11-24 14:53:16.027 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.acec.demo.DemoApplication for test class com.acec.demo.HelloWorldControlerTests
2017-11-24 14:53:16.055 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-11-24 14:53:16.117 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4c9b195f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5a9ed343, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7140022f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@214f95bf, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6ff03fae, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5e4f1ec, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@79c6bff9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6765b2e4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@45c3cbc4, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3976d4a4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@28827875, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@db25e1a]
2017-11-24 14:55:26.306 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.acec.demo.HelloWorldControlerTests], using SpringBootContextLoader
2017-11-24 14:55:26.342 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.acec.demo.HelloWorldControlerTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-11-24 14:55:26.343 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.acec.demo.HelloWorldControlerTests]: HelloWorldControlerTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-11-24 14:55:26.636 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.acec.demo.DemoApplication for test class com.acec.demo.HelloWorldControlerTests
2017-11-24 14:55:26.659 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-11-24 14:55:26.697 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@17fd8d42, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@744f45c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4006c7be, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7d23abc8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@30e317a7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@d25ee04, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@352d4f5a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@31b4b8fc, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4fdcc1e2, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@263d0564, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@702cfbd8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@194a5b71]
2017-11-24 15:07:34.889 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.acec.demo.HelloWorldControlerTests], using SpringBootContextLoader
2017-11-24 15:07:34.909 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.acec.demo.HelloWorldControlerTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-11-24 15:07:34.910 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.acec.demo.HelloWorldControlerTests]: HelloWorldControlerTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-11-24 15:07:35.358 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.acec.demo.DemoApplication for test class com.acec.demo.HelloWorldControlerTests
